Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,186,6671,1,201,7785,1,954,181,140,17,9,5
0,158,5830,-1,460,8555,9,1337,185,134,14,67,7
0,203,5547,0,1360,8614,0,2337,449,156,15,0,5
0,190,6692,-1,695,7992,3,30,2,144,16,26,6
0,32,6872,1,232,7545,6,2853,212,183,19,60,6
0,61,6411,0,135,6959,1,2280,96,171,8,4,6
0,325,7107,0,444,8066,0,5390,423,217,14,0,5
0,19,7107,1,448,6166,11,1626,440,196,18,105,7
0,306,6616,0,664,8420,3,510,183,228,19,31,6
0,356,7145,0,665,7947,1,2243,267,213,18,10,5
0,268,6675,3,303,7108,0,1430,263,211,20,0,4
0,39,6924,0,54,5451,0,2888,51,177,18,0,5
0,342,6508,-1,1318,8292,4,2190,288,199,7,16,7
0,219,5774,1,629,8452,1,1668,414,155,25,14,5
0,72,5674,3,480,9317,8,5521,400,101,35,167,6
0,19,6362,0,612,7953,1,3431,489,196,28,16,5
0,171,6891,0,1038,8674,1,3013,382,165,6,3,6
0,8,6290,1,158,7241,0,1282,120,197,11,0,5
0,16,6924,0,90,5451,0,2427,87,191,9,0,5
0,315,7069,0,618,7752,6,30,0,181,0,1,10
0,287,5394,0,1263,7680,1,3550,518,235,29,17,5
0,62,7010,0,626,3245,7,2476,617,167,10,38,7
0,330,6063,0,181,7678,0,2871,143,188,3,0,6
0,91,6012,-1,1181,-2000,2,2508,464,145,13,14,6
0,199,6792,0,1098,8824,1,3575,861,152,16,8,5
0,179,6700,0,662,7345,4,1813,498,111,24,54,6
0,260,5585,-2,1684,7287,6,4237,753,207,34,119,6
0,82,5768,-1,726,7383,5,1642,514,120,24,68,6
0,25,6342,0,11,3909,0,1146,9,183,3,0,6
0,137,5589,0,1290,7491,2,3189,717,93,24,26,5
0,50,5689,-3,918,7513,3,1629,394,129,39,74,5
0,342,6789,0,90,2431,0,1174,61,203,9,0,5
0,258,6887,1,1685,3860,4,5820,766,204,29,67,6
0,176,7011,0,801,6139,0,3980,766,171,4,0,6
0,170,5429,-1,1090,8395,2,1094,239,87,29,33,5
0,359,6814,1,1183,6861,2,2200,448,221,34,41,5
0,134,7116,-4,852,8193,2,3613,795,0,46,63,4
0,204,6834,-1,559,7962,2,4084,505,150,19,20,6
0,290,6586,0,667,8193,0,855,130,222,18,0,5
