Flood,FloodNew,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,0,78,21,964076992,253,771,0,0,12,0,55,0,-3
0,0,75,22,383230592,247,745,0,0,6,0,55,0,-3
0,0,55,22,4015563,210,801,0,0,14,0,41,0,-1
0,0,21,0,57594728,316,0,0,0,1,74,21,0,-2
0,0,356,20,-428592192,316,675,238,0,0,135,48,30,5
0,0,67,19,-548369216,491,913,0,0,33,0,75,0,-2
0,0,51,19,458216736,491,913,0,0,33,0,71,0,-4
0,0,341,20,756055680,348,770,0,0,9,161,67,0,-4
0,0,335,20,-1155127296,347,791,0,0,8,169,78,0,-4
0,0,281,21,-259198240,307,711,0,0,11,148,80,11,1
0,0,298,21,15245423,319,729,0,0,24,171,84,0,-5
0,0,157,0,1729935872,1170,0,0,0,329,0,89,1,-6
0,0,12,0,117246416,333,0,0,0,14,97,74,11,2
0,0,127,0,-487248384,216,0,0,0,0,0,58,0,-2
0,0,157,17,-484145024,1120,1036,0,0,279,0,89,1,-5
0,0,152,17,379492896,1064,1036,0,0,223,0,89,2,-5
0,0,291,17,12293481472,950,1046,0,0,302,164,89,0,-6
0,0,237,20,550939008,490,808,0,0,68,38,82,0,-5
0,0,240,21,-209010672,344,772,0,0,49,47,85,0,-5
0,0,11,0,-290067040,1654,0,0,0,683,99,89,1,-6
0,0,111,0,88701104,500,0,0,0,25,0,48,0,-3
0,0,74,0,603504000,362,0,0,0,43,0,80,0,-4
0,0,160,0,-822339072,352,0,0,0,33,0,77,0,-3
0,0,313,0,-118934120,269,0,0,0,28,180,84,0,-4
0,0,12,17,3448161536,828,1024,0,0,135,98,89,1,-6
0,0,14,17,4421918208,890,1024,0,0,197,92,89,0,-7
0,0,328,20,255676064,381,831,0,0,15,175,57,0,-3
0,0,11,20,1446332416,392,829,0,0,26,101,85,0,-5
0,0,273,21,-1788107520,401,764,0,0,106,134,88,0,-6
0,0,20,0,317438240,1569,0,0,0,598,77,89,1,-6
0,0,13,0,-3401086464,1552,0,0,0,581,96,89,2,-5
0,0,315,0,-4502085120,1560,0,0,0,589,180,89,0,-6
0,0,92,0,753751552,280,0,0,0,40,0,80,0,-4
0,0,19,17,-2738551552,1986,1128,0,0,1015,0,88,0,-6
0,0,357,17,4724529152,1023,1019,0,0,240,133,89,1,-6
0,0,49,21,2009474048,322,813,0,0,81,0,87,0,-5
0,0,96,22,-398643328,245,751,0,0,0,0,72,0,-2
0,0,0,17,-1626633344,2010,1128,0,0,1038,0,89,1,-5
0,0,342,17,5974593024,1095,1019,0,0,312,160,89,0,-7
0,0,88,20,375797216,390,863,0,0,24,0,59,0,-3
0,0,104,21,-1574803584,384,859,0,0,145,0,84,0,-5
0,0,82,21,2067176192,331,813,0,0,91,0,86,0,-5
0,0,89,22,116029096,246,751,0,0,0,0,70,0,-3
0,0,249,0,546966528,862,0,0,0,235,72,89,1,-6
0,0,178,17,470628480,907,5466,0,0,300,0,89,2,-5
0,0,125,19,1024999488,799,899,0,0,300,0,89,1,-6
0,0,13,20,-39851504,387,843,0,0,21,96,66,0,-3
0,0,303,21,633224064,272,765,0,0,32,176,65,0,-3
0,0,178,17,-11207592960,819,5466,0,0,212,0,89,7,-4
0,0,128,19,1078129280,765,899,0,0,266,0,89,2,-5
0,0,100,20,483449536,390,843,0,0,9,0,26,0,-2
0,0,143,0,2613566208,2068,0,0,0,889,0,89,0,-6
0,0,212,0,1514216320,756,0,0,0,141,0,89,1,-6
0,0,278,0,284372512,379,0,0,0,60,143,84,0,-4
0,0,184,0,610962240,367,0,0,0,128,0,88,0,-6
0,0,108,0,-294263296,251,0,0,0,0,0,63,0,-2
0,0,126,17,-758598272,1398,1075,0,0,219,0,88,1,-5
0,0,28,0,2235254016,896,0,0,0,260,51,88,0,-6
0,0,190,0,1805941504,359,0,0,0,19,0,63,0,-3
0,0,328,0,-69459440,256,0,0,0,0,175,55,0,-3
0,0,9,17,1304949888,1608,1066,0,0,429,105,89,1,-6
0,0,119,20,2177476608,364,733,0,0,43,0,68,0,-4
0,0,0,0,1342665728,1886,0,0,0,1118,0,89,1,-6
0,0,243,0,3835600384,848,0,0,0,255,55,88,0,-6
0,0,315,0,835162496,387,0,0,0,68,180,68,0,-4
0,0,194,17,2928486144,1792,1109,0,0,1024,0,89,0,-7
0,0,345,17,2428660480,1484,1060,0,0,450,156,89,0,-6
0,0,3,17,1817482624,1484,1010,0,0,644,119,89,0,-6
0,0,58,17,6056783872,1109,933,0,0,486,0,89,0,-7
0,0,55,20,-897269120,383,703,0,0,64,0,58,0,-2
0,0,80,20,-539337536,382,602,0,0,64,0,77,0,-3
0,0,154,17,83463464,1709,1174,0,0,941,0,89,1,-7
0,0,146,17,-984204416,1587,1174,0,0,808,0,89,2,-6
0,0,185,17,3517621248,1500,1276,0,0,732,0,89,5,-6
0,0,180,17,73769864,1498,1127,0,0,730,0,89,4,-6
0,0,173,17,1795273088,1491,1127,0,0,724,0,89,2,-6
0,0,151,17,4361144832,1579,1136,0,0,811,0,88,0,-6
0,0,98,17,1675133696,1455,1083,0,0,277,0,88,0,-6
0,0,313,17,446916512,1399,1032,0,0,220,180,89,0,-6
0,0,28,20,-177358784,398,754,0,0,17,53,59,4,2
0,0,285,20,508029504,365,751,0,0,21,156,80,0,-4
0,0,0,21,1080742144,552,814,0,0,312,0,87,0,-6
0,0,50,20,-397820032,673,896,0,0,306,0,89,1,-6
0,0,0,0,-2459064064,1492,0,0,0,0,0,79,0,-4
0,0,78,17,3697490432,1760,921,0,0,872,0,89,1,-6
0,0,172,17,4804737536,1423,721,0,0,535,0,89,0,-7
0,0,187,17,-56998568,1303,1198,0,0,536,0,89,3,-5
0,0,185,17,1305840512,1313,1198,0,0,546,0,89,4,-5
